STRUCTURE,STRUCTURE_ID,STRUCTURE_NAME,freq,Time frequency,nace_r2,Statistical classification of economic activities in the European Community (NACE Rev. 2),isco08,International Standard Classification of Occupations 2008 (ISCO-08),worktime,Working time,age,Age class,sex,Sex,indic_se,Structure of earnings indicator,geo,Geopolitical entity (reporting),TIME_PERIOD,Time,OBS_VALUE,Observation value,OBS_FLAG,Observation status (Flag) V2 structure,CONF_STATUS,Confidentiality status (flag)
dataflow,ESTAT:EARN_SES_ANNUAL$DEFAULTVIEW(1.0),Structure of earnings survey: annual earnings,A,Annual,B-S_X_O,"Industry, construction and services (except public administration, defense, compulsory social security)",TOTAL,Total,FT,Full-time,TOTAL,Total,T,Total,MEAN_E_EUR,Mean earnings in euro,FI,Finland,2018,,46071,,,,,
dataflow,ESTAT:EARN_SES_ANNUAL$DEFAULTVIEW(1.0),Structure of earnings survey: annual earnings,A,Annual,B-S_X_O,"Industry, construction and services (except public administration, defense, compulsory social security)",TOTAL,Total,FT,Full-time,TOTAL,Total,T,Total,MEAN_E_EUR,Mean earnings in euro,FI,Finland,2022,,51036,,,,,
dataflow,ESTAT:EARN_SES_ANNUAL$DEFAULTVIEW(1.0),Structure of earnings survey: annual earnings,A,Annual,B-S_X_O,"Industry, construction and services (except public administration, defense, compulsory social security)",TOTAL,Total,FT,Full-time,TOTAL,Total,T,Total,MEAN_E_EUR,Mean earnings in euro,FR,France,2006,,32493,,,,,
dataflow,ESTAT:EARN_SES_ANNUAL$DEFAULTVIEW(1.0),Structure of earnings survey: annual earnings,A,Annual,B-S_X_O,"Industry, construction and services (except public administration, defense, compulsory social security)",TOTAL,Total,FT,Full-time,TOTAL,Total,T,Total,MEAN_E_EUR,Mean earnings in euro,FR,France,2010,,34927,,,,,
dataflow,ESTAT:EARN_SES_ANNUAL$DEFAULTVIEW(1.0),Structure of earnings survey: annual earnings,A,Annual,B-S_X_O,"Industry, construction and services (except public administration, defense, compulsory social security)",TOTAL,Total,FT,Full-time,TOTAL,Total,T,Total,MEAN_E_EUR,Mean earnings in euro,FR,France,2014,,37253,,,,,
dataflow,ESTAT:EARN_SES_ANNUAL$DEFAULTVIEW(1.0),Structure of earnings survey: annual earnings,A,Annual,B-S_X_O,"Industry, construction and services (except public administration, defense, compulsory social security)",TOTAL,Total,FT,Full-time,TOTAL,Total,T,Total,MEAN_E_EUR,Mean earnings in euro,FR,France,2018,,38747,,,,,
dataflow,ESTAT:EARN_SES_ANNUAL$DEFAULTVIEW(1.0),Structure of earnings survey: annual earnings,A,Annual,B-S_X_O,"Industry, construction and services (except public administration, defense, compulsory social security)",TOTAL,Total,FT,Full-time,TOTAL,Total,T,Total,MEAN_E_EUR,Mean earnings in euro,FR,France,2022,,40603,,,,,
dataflow,ESTAT:EARN_SES_ANNUAL$DEFAULTVIEW(1.0),Structure of earnings survey: annual earnings,A,Annual,B-S_X_O,"Industry, construction and services (except public administration, defense, compulsory social security)",TOTAL,Total,FT,Full-time,TOTAL,Total,T,Total,MEAN_E_EUR,Mean earnings in euro,HR,Croatia,2010,,12402,,,,,
dataflow,ESTAT:EARN_SES_ANNUAL$DEFAULTVIEW(1.0),Structure of earnings survey: annual earnings,A,Annual,B-S_X_O,"Industry, construction and services (except public administration, defense, compulsory social security)",TOTAL,Total,FT,Full-time,TOTAL,Total,T,Total,MEAN_E_EUR,Mean earnings in euro,HR,Croatia,2014,,13007,,,,,
dataflow,ESTAT:EARN_SES_ANNUAL$DEFAULTVIEW(1.0),Structure of earnings survey: annual earnings,A,Annual,B-S_X_O,"Industry, construction and services (except public administration, defense, compulsory social security)",TOTAL,Total,FT,Full-time,TOTAL,Total,T,Total,MEAN_E_EUR,Mean earnings in euro,HR,Croatia,2018,,14716,,,,,
dataflow,ESTAT:EARN_SES_ANNUAL$DEFAULTVIEW(1.0),Structure of earnings survey: annual earnings,A,Annual,B-S_X_O,"Industry, construction and services (except public administration, defense, compulsory social security)",TOTAL,Total,FT,Full-time,TOTAL,Total,T,Total,MEAN_E_EUR,Mean earnings in euro,HR,Croatia,2022,,16804,,,,,
dataflow,ESTAT:EARN_SES_ANNUAL$DEFAULTVIEW(1.0),Structure of earnings survey: annual earnings,A,Annual,B-S_X_O,"Industry, construction and services (except public administration, defense, compulsory social security)",TOTAL,Total,FT,Full-time,TOTAL,Total,T,Total,MEAN_E_EUR,Mean earnings in euro,HU,Hungary,2002,,5873,,,,,
dataflow,ESTAT:EARN_SES_ANNUAL$DEFAULTVIEW(1.0),Structure of earnings survey: annual earnings,A,Annual,B-S_X_O,"Industry, construction and services (except public administration, defense, compulsory social security)",TOTAL,Total,FT,Full-time,TOTAL,Total,T,Total,MEAN_E_EUR,Mean earnings in euro,HU,Hungary,2006,,8115,,,,,
dataflow,ESTAT:EARN_SES_ANNUAL$DEFAULTVIEW(1.0),Structure of earnings survey: annual earnings,A,Annual,B-S_X_O,"Industry, construction and services (except public administration, defense, compulsory social security)",TOTAL,Total,FT,Full-time,TOTAL,Total,T,Total,MEAN_E_EUR,Mean earnings in euro,HU,Hungary,2010,,9879,,,,,
dataflow,ESTAT:EARN_SES_ANNUAL$DEFAULTVIEW(1.0),Structure of earnings survey: annual earnings,A,Annual,B-S_X_O,"Industry, construction and services (except public administration, defense, compulsory social security)",TOTAL,Total,FT,Full-time,TOTAL,Total,T,Total,MEAN_E_EUR,Mean earnings in euro,HU,Hungary,2014,,10209,,,,,
dataflow,ESTAT:EARN_SES_ANNUAL$DEFAULTVIEW(1.0),Structure of earnings survey: annual earnings,A,Annual,B-S_X_O,"Industry, construction and services (except public administration, defense, compulsory social security)",TOTAL,Total,FT,Full-time,TOTAL,Total,T,Total,MEAN_E_EUR,Mean earnings in euro,HU,Hungary,2018,,13539,,,,,
dataflow,ESTAT:EARN_SES_ANNUAL$DEFAULTVIEW(1.0),Structure of earnings survey: annual earnings,A,Annual,B-S_X_O,"Industry, construction and services (except public administration, defense, compulsory social security)",TOTAL,Total,FT,Full-time,TOTAL,Total,T,Total,MEAN_E_EUR,Mean earnings in euro,HU,Hungary,2022,,16825,,,,,
dataflow,ESTAT:EARN_SES_ANNUAL$DEFAULTVIEW(1.0),Structure of earnings survey: annual earnings,A,Annual,B-S_X_O,"Industry, construction and services (except public administration, defense, compulsory social security)",TOTAL,Total,FT,Full-time,TOTAL,Total,T,Total,MEAN_E_EUR,Mean earnings in euro,IE,Ireland,2002,,35450,,,,,
dataflow,ESTAT:EARN_SES_ANNUAL$DEFAULTVIEW(1.0),Structure of earnings survey: annual earnings,A,Annual,B-S_X_O,"Industry, construction and services (except public administration, defense, compulsory social security)",TOTAL,Total,FT,Full-time,TOTAL,Total,T,Total,MEAN_E_EUR,Mean earnings in euro,IE,Ireland,2006,,42876,,,,,
dataflow,ESTAT:EARN_SES_ANNUAL$DEFAULTVIEW(1.0),Structure of earnings survey: annual earnings,A,Annual,B-S_X_O,"Industry, construction and services (except public administration, defense, compulsory social security)",TOTAL,Total,FT,Full-time,TOTAL,Total,T,Total,MEAN_E_EUR,Mean earnings in euro,IE,Ireland,2010,,44146,,,,,
dataflow,ESTAT:EARN_SES_ANNUAL$DEFAULTVIEW(1.0),Structure of earnings survey: annual earnings,A,Annual,B-S_X_O,"Industry, construction and services (except public administration, defense, compulsory social security)",TOTAL,Total,FT,Full-time,TOTAL,Total,T,Total,MEAN_E_EUR,Mean earnings in euro,IE,Ireland,2014,,48598,,,,,
dataflow,ESTAT:EARN_SES_ANNUAL$DEFAULTVIEW(1.0),Structure of earnings survey: annual earnings,A,Annual,B-S_X_O,"Industry, construction and services (except public administration, defense, compulsory social security)",TOTAL,Total,FT,Full-time,TOTAL,Total,T,Total,MEAN_E_EUR,Mean earnings in euro,IE,Ireland,2018,,49790,,,,,
dataflow,ESTAT:EARN_SES_ANNUAL$DEFAULTVIEW(1.0),Structure of earnings survey: annual earnings,A,Annual,B-S_X_O,"Industry, construction and services (except public administration, defense, compulsory social security)",TOTAL,Total,FT,Full-time,TOTAL,Total,T,Total,MEAN_E_EUR,Mean earnings in euro,IE,Ireland,2022,,57116,,,,,
dataflow,ESTAT:EARN_SES_ANNUAL$DEFAULTVIEW(1.0),Structure of earnings survey: annual earnings,A,Annual,B-S_X_O,"Industry, construction and services (except public administration, defense, compulsory social security)",TOTAL,Total,FT,Full-time,TOTAL,Total,T,Total,MEAN_E_EUR,Mean earnings in euro,IS,Iceland,2010,,32551,,,,,
dataflow,ESTAT:EARN_SES_ANNUAL$DEFAULTVIEW(1.0),Structure of earnings survey: annual earnings,A,Annual,B-S_X_O,"Industry, construction and services (except public administration, defense, compulsory social security)",TOTAL,Total,FT,Full-time,TOTAL,Total,T,Total,MEAN_E_EUR,Mean earnings in euro,IS,Iceland,2014,,44188,,,,,
dataflow,ESTAT:EARN_SES_ANNUAL$DEFAULTVIEW(1.0),Structure of earnings survey: annual earnings,A,Annual,B-S_X_O,"Industry, construction and services (except public administration, defense, compulsory social security)",TOTAL,Total,FT,Full-time,TOTAL,Total,T,Total,MEAN_E_EUR,Mean earnings in euro,IS,Iceland,2018,,68633,,,,,
dataflow,ESTAT:EARN_SES_ANNUAL$DEFAULTVIEW(1.0),Structure of earnings survey: annual earnings,A,Annual,B-S_X_O,"Industry, construction and services (except public administration, defense, compulsory social security)",TOTAL,Total,FT,Full-time,TOTAL,Total,T,Total,MEAN_E_EUR,Mean earnings in euro,IS,Iceland,2022,,74436,,,,,
dataflow,ESTAT:EARN_SES_ANNUAL$DEFAULTVIEW(1.0),Structure of earnings survey: annual earnings,A,Annual,B-S_X_O,"Industry, construction and services (except public administration, defense, compulsory social security)",TOTAL,Total,FT,Full-time,TOTAL,Total,T,Total,MEAN_E_EUR,Mean earnings in euro,IT,Italy,2006,,30560,,,,,
dataflow,ESTAT:EARN_SES_ANNUAL$DEFAULTVIEW(1.0),Structure of earnings survey: annual earnings,A,Annual,B-S_X_O,"Industry, construction and services (except public administration, defense, compulsory social security)",TOTAL,Total,FT,Full-time,TOTAL,Total,T,Total,MEAN_E_EUR,Mean earnings in euro,IT,Italy,2010,,32751,,,,,
dataflow,ESTAT:EARN_SES_ANNUAL$DEFAULTVIEW(1.0),Structure of earnings survey: annual earnings,A,Annual,B-S_X_O,"Industry, construction and services (except public administration, defense, compulsory social security)",TOTAL,Total,FT,Full-time,TOTAL,Total,T,Total,MEAN_E_EUR,Mean earnings in euro,IT,Italy,2014,,36242,,,,,
dataflow,ESTAT:EARN_SES_ANNUAL$DEFAULTVIEW(1.0),Structure of earnings survey: annual earnings,A,Annual,B-S_X_O,"Industry, construction and services (except public administration, defense, compulsory social security)",TOTAL,Total,FT,Full-time,TOTAL,Total,T,Total,MEAN_E_EUR,Mean earnings in euro,IT,Italy,2018,,36671,,,,,
dataflow,ESTAT:EARN_SES_ANNUAL$DEFAULTVIEW(1.0),Structure of earnings survey: annual earnings,A,Annual,B-S_X_O,"Industry, construction and services (except public administration, defense, compulsory social security)",TOTAL,Total,FT,Full-time,TOTAL,Total,T,Total,MEAN_E_EUR,Mean earnings in euro,IT,Italy,2022,,38665,,,,,
dataflow,ESTAT:EARN_SES_ANNUAL$DEFAULTVIEW(1.0),Structure of earnings survey: annual earnings,A,Annual,B-S_X_O,"Industry, construction and services (except public administration, defense, compulsory social security)",TOTAL,Total,FT,Full-time,TOTAL,Total,T,Total,MEAN_E_EUR,Mean earnings in euro,LT,Lithuania,2002,,4099,,,,,
dataflow,ESTAT:EARN_SES_ANNUAL$DEFAULTVIEW(1.0),Structure of earnings survey: annual earnings,A,Annual,B-S_X_O,"Industry, construction and services (except public administration, defense, compulsory social security)",TOTAL,Total,FT,Full-time,TOTAL,Total,T,Total,MEAN_E_EUR,Mean earnings in euro,LT,Lithuania,2006,,5716,,,,,
dataflow,ESTAT:EARN_SES_ANNUAL$DEFAULTVIEW(1.0),Structure of earnings survey: annual earnings,A,Annual,B-S_X_O,"Industry, construction and services (except public administration, defense, compulsory social security)",TOTAL,Total,FT,Full-time,TOTAL,Total,T,Total,MEAN_E_EUR,Mean earnings in euro,LT,Lithuania,2010,,7226,,,,,
dataflow,ESTAT:EARN_SES_ANNUAL$DEFAULTVIEW(1.0),Structure of earnings survey: annual earnings,A,Annual,B-S_X_O,"Industry, construction and services (except public administration, defense, compulsory social security)",TOTAL,Total,FT,Full-time,TOTAL,Total,T,Total,MEAN_E_EUR,Mean earnings in euro,LT,Lithuania,2014,,8756,,,,,
dataflow,ESTAT:EARN_SES_ANNUAL$DEFAULTVIEW(1.0),Structure of earnings survey: annual earnings,A,Annual,B-S_X_O,"Industry, construction and services (except public administration, defense, compulsory social security)",TOTAL,Total,FT,Full-time,TOTAL,Total,T,Total,MEAN_E_EUR,Mean earnings in euro,LT,Lithuania,2018,,11943,,,,,
dataflow,ESTAT:EARN_SES_ANNUAL$DEFAULTVIEW(1.0),Structure of earnings survey: annual earnings,A,Annual,B-S_X_O,"Industry, construction and services (except public administration, defense, compulsory social security)",TOTAL,Total,FT,Full-time,TOTAL,Total,T,Total,MEAN_E_EUR,Mean earnings in euro,LT,Lithuania,2022,,22673,,,,,
dataflow,ESTAT:EARN_SES_ANNUAL$DEFAULTVIEW(1.0),Structure of earnings survey: annual earnings,A,Annual,B-S_X_O,"Industry, construction and services (except public administration, defense, compulsory social security)",TOTAL,Total,FT,Full-time,TOTAL,Total,T,Total,MEAN_E_EUR,Mean earnings in euro,LU,Luxembourg,2006,,47016,,,,,
dataflow,ESTAT:EARN_SES_ANNUAL$DEFAULTVIEW(1.0),Structure of earnings survey: annual earnings,A,Annual,B-S_X_O,"Industry, construction and services (except public administration, defense, compulsory social security)",TOTAL,Total,FT,Full-time,TOTAL,Total,T,Total,MEAN_E_EUR,Mean earnings in euro,LU,Luxembourg,2010,,51643,,,,,
dataflow,ESTAT:EARN_SES_ANNUAL$DEFAULTVIEW(1.0),Structure of earnings survey: annual earnings,A,Annual,B-S_X_O,"Industry, construction and services (except public administration, defense, compulsory social security)",TOTAL,Total,FT,Full-time,TOTAL,Total,T,Total,MEAN_E_EUR,Mean earnings in euro,LU,Luxembourg,2014,,58797,,,,,
dataflow,ESTAT:EARN_SES_ANNUAL$DEFAULTVIEW(1.0),Structure of earnings survey: annual earnings,A,Annual,B-S_X_O,"Industry, construction and services (except public administration, defense, compulsory social security)",TOTAL,Total,FT,Full-time,TOTAL,Total,T,Total,MEAN_E_EUR,Mean earnings in euro,LU,Luxembourg,2018,,64641,,,,,
dataflow,ESTAT:EARN_SES_ANNUAL$DEFAULTVIEW(1.0),Structure of earnings survey: annual earnings,A,Annual,B-S_X_O,"Industry, construction and services (except public administration, defense, compulsory social security)",TOTAL,Total,FT,Full-time,TOTAL,Total,T,Total,MEAN_E_EUR,Mean earnings in euro,LU,Luxembourg,2022,,73637,,,,,
dataflow,ESTAT:EARN_SES_ANNUAL$DEFAULTVIEW(1.0),Structure of earnings survey: annual earnings,A,Annual,B-S_X_O,"Industry, construction and services (except public administration, defense, compulsory social security)",TOTAL,Total,FT,Full-time,TOTAL,Total,T,Total,MEAN_E_EUR,Mean earnings in euro,LV,Latvia,2006,,5839,,,,,
dataflow,ESTAT:EARN_SES_ANNUAL$DEFAULTVIEW(1.0),Structure of earnings survey: annual earnings,A,Annual,B-S_X_O,"Industry, construction and services (except public administration, defense, compulsory social security)",TOTAL,Total,FT,Full-time,TOTAL,Total,T,Total,MEAN_E_EUR,Mean earnings in euro,LV,Latvia,2010,,8526,,,,,
dataflow,ESTAT:EARN_SES_ANNUAL$DEFAULTVIEW(1.0),Structure of earnings survey: annual earnings,A,Annual,B-S_X_O,"Industry, construction and services (except public administration, defense, compulsory social security)",TOTAL,Total,FT,Full-time,TOTAL,Total,T,Total,MEAN_E_EUR,Mean earnings in euro,LV,Latvia,2014,,10195,,,,,
dataflow,ESTAT:EARN_SES_ANNUAL$DEFAULTVIEW(1.0),Structure of earnings survey: annual earnings,A,Annual,B-S_X_O,"Industry, construction and services (except public administration, defense, compulsory social security)",TOTAL,Total,FT,Full-time,TOTAL,Total,T,Total,MEAN_E_EUR,Mean earnings in euro,LV,Latvia,2018,,14057,,,,,
dataflow,ESTAT:EARN_SES_ANNUAL$DEFAULTVIEW(1.0),Structure of earnings survey: annual earnings,A,Annual,B-S_X_O,"Industry, construction and services (except public administration, defense, compulsory social security)",TOTAL,Total,FT,Full-time,TOTAL,Total,T,Total,MEAN_E_EUR,Mean earnings in euro,LV,Latvia,2022,,18202,,,,,
dataflow,ESTAT:EARN_SES_ANNUAL$DEFAULTVIEW(1.0),Structure of earnings survey: annual earnings,A,Annual,B-S_X_O,"Industry, construction and services (except public administration, defense, compulsory social security)",TOTAL,Total,FT,Full-time,TOTAL,Total,T,Total,MEAN_E_EUR,Mean earnings in euro,ME,Montenegro,2014,,8778,,,,,
dataflow,ESTAT:EARN_SES_ANNUAL$DEFAULTVIEW(1.0),Structure of earnings survey: annual earnings,A,Annual,B-S_X_O,"Industry, construction and services (except public administration, defense, compulsory social security)",TOTAL,Total,FT,Full-time,TOTAL,Total,T,Total,MEAN_E_EUR,Mean earnings in euro,MK,North Macedonia,2010,,5824,,,,,
dataflow,ESTAT:EARN_SES_ANNUAL$DEFAULTVIEW(1.0),Structure of earnings survey: annual earnings,A,Annual,B-S_X_O,"Industry, construction and services (except public administration, defense, compulsory social security)",TOTAL,Total,FT,Full-time,TOTAL,Total,T,Total,MEAN_E_EUR,Mean earnings in euro,MK,North Macedonia,2014,,6599,,,,,
dataflow,ESTAT:EARN_SES_ANNUAL$DEFAULTVIEW(1.0),Structure of earnings survey: annual earnings,A,Annual,B-S_X_O,"Industry, construction and services (except public administration, defense, compulsory social security)",TOTAL,Total,FT,Full-time,TOTAL,Total,T,Total,MEAN_E_EUR,Mean earnings in euro,MK,North Macedonia,2018,,7363,,,,,
dataflow,ESTAT:EARN_SES_ANNUAL$DEFAULTVIEW(1.0),Structure of earnings survey: annual earnings,A,Annual,B-S_X_O,"Industry, construction and services (except public administration, defense, compulsory social security)",TOTAL,Total,FT,Full-time,TOTAL,Total,T,Total,MEAN_E_EUR,Mean earnings in euro,MT,Malta,2006,,17654,,,,,
dataflow,ESTAT:EARN_SES_ANNUAL$DEFAULTVIEW(1.0),Structure of earnings survey: annual earnings,A,Annual,B-S_X_O,"Industry, construction and services (except public administration, defense, compulsory social security)",TOTAL,Total,FT,Full-time,TOTAL,Total,T,Total,MEAN_E_EUR,Mean earnings in euro,MT,Malta,2010,,19600,,,,,
dataflow,ESTAT:EARN_SES_ANNUAL$DEFAULTVIEW(1.0),Structure of earnings survey: annual earnings,A,Annual,B-S_X_O,"Industry, construction and services (except public administration, defense, compulsory social security)",TOTAL,Total,FT,Full-time,TOTAL,Total,T,Total,MEAN_E_EUR,Mean earnings in euro,MT,Malta,2014,,22641,,,,,
dataflow,ESTAT:EARN_SES_ANNUAL$DEFAULTVIEW(1.0),Structure of earnings survey: annual earnings,A,Annual,B-S_X_O,"Industry, construction and services (except public administration, defense, compulsory social security)",TOTAL,Total,FT,Full-time,TOTAL,Total,T,Total,MEAN_E_EUR,Mean earnings in euro,MT,Malta,2018,,27047,,,,,
dataflow,ESTAT:EARN_SES_ANNUAL$DEFAULTVIEW(1.0),Structure of earnings survey: annual earnings,A,Annual,B-S_X_O,"Industry, construction and services (except public administration, defense, compulsory social security)",TOTAL,Total,FT,Full-time,TOTAL,Total,T,Total,MEAN_E_EUR,Mean earnings in euro,MT,Malta,2022,,31571,,,,,
dataflow,ESTAT:EARN_SES_ANNUAL$DEFAULTVIEW(1.0),Structure of earnings survey: annual earnings,A,Annual,B-S_X_O,"Industry, construction and services (except public administration, defense, compulsory social security)",TOTAL,Total,FT,Full-time,TOTAL,Total,T,Total,MEAN_E_EUR,Mean earnings in euro,NL,Netherlands,2002,,37003,,,,,
dataflow,ESTAT:EARN_SES_ANNUAL$DEFAULTVIEW(1.0),Structure of earnings survey: annual earnings,A,Annual,B-S_X_O,"Industry, construction and services (except public administration, defense, compulsory social security)",TOTAL,Total,FT,Full-time,TOTAL,Total,T,Total,MEAN_E_EUR,Mean earnings in euro,NL,Netherlands,2006,,38998,,,,,
dataflow,ESTAT:EARN_SES_ANNUAL$DEFAULTVIEW(1.0),Structure of earnings survey: annual earnings,A,Annual,B-S_X_O,"Industry, construction and services (except public administration, defense, compulsory social security)",TOTAL,Total,FT,Full-time,TOTAL,Total,T,Total,MEAN_E_EUR,Mean earnings in euro,NL,Netherlands,2010,,44965,,,,,
dataflow,ESTAT:EARN_SES_ANNUAL$DEFAULTVIEW(1.0),Structure of earnings survey: annual earnings,A,Annual,B-S_X_O,"Industry, construction and services (except public administration, defense, compulsory social security)",TOTAL,Total,FT,Full-time,TOTAL,Total,T,Total,MEAN_E_EUR,Mean earnings in euro,NL,Netherlands,2014,,48839.67,,,,,
dataflow,ESTAT:EARN_SES_ANNUAL$DEFAULTVIEW(1.0),Structure of earnings survey: annual earnings,A,Annual,B-S_X_O,"Industry, construction and services (except public administration, defense, compulsory social security)",TOTAL,Total,FT,Full-time,TOTAL,Total,T,Total,MEAN_E_EUR,Mean earnings in euro,NL,Netherlands,2018,,51826,,,,,
dataflow,ESTAT:EARN_SES_ANNUAL$DEFAULTVIEW(1.0),Structure of earnings survey: annual earnings,A,Annual,B-S_X_O,"Industry, construction and services (except public administration, defense, compulsory social security)",TOTAL,Total,FT,Full-time,TOTAL,Total,T,Total,MEAN_E_EUR,Mean earnings in euro,NL,Netherlands,2022,,59527,,,,,
dataflow,ESTAT:EARN_SES_ANNUAL$DEFAULTVIEW(1.0),Structure of earnings survey: annual earnings,A,Annual,B-S_X_O,"Industry, construction and services (except public administration, defense, compulsory social security)",TOTAL,Total,FT,Full-time,TOTAL,Total,T,Total,MEAN_E_EUR,Mean earnings in euro,NO,Norway,2006,,50440,,,,,
dataflow,ESTAT:EARN_SES_ANNUAL$DEFAULTVIEW(1.0),Structure of earnings survey: annual earnings,A,Annual,B-S_X_O,"Industry, construction and services (except public administration, defense, compulsory social security)",TOTAL,Total,FT,Full-time,TOTAL,Total,T,Total,MEAN_E_EUR,Mean earnings in euro,NO,Norway,2010,,58075,,,,,
dataflow,ESTAT:EARN_SES_ANNUAL$DEFAULTVIEW(1.0),Structure of earnings survey: annual earnings,A,Annual,B-S_X_O,"Industry, construction and services (except public administration, defense, compulsory social security)",TOTAL,Total,FT,Full-time,TOTAL,Total,T,Total,MEAN_E_EUR,Mean earnings in euro,NO,Norway,2014,,63157,,,,,
dataflow,ESTAT:EARN_SES_ANNUAL$DEFAULTVIEW(1.0),Structure of earnings survey: annual earnings,A,Annual,B-S_X_O,"Industry, construction and services (except public administration, defense, compulsory social security)",TOTAL,Total,FT,Full-time,TOTAL,Total,T,Total,MEAN_E_EUR,Mean earnings in euro,NO,Norway,2018,,48609,,,,,
dataflow,ESTAT:EARN_SES_ANNUAL$DEFAULTVIEW(1.0),Structure of earnings survey: annual earnings,A,Annual,B-S_X_O,"Industry, construction and services (except public administration, defense, compulsory social security)",TOTAL,Total,FT,Full-time,TOTAL,Total,T,Total,MEAN_E_EUR,Mean earnings in euro,NO,Norway,2022,,69144,,,,,
dataflow,ESTAT:EARN_SES_ANNUAL$DEFAULTVIEW(1.0),Structure of earnings survey: annual earnings,A,Annual,B-S_X_O,"Industry, construction and services (except public administration, defense, compulsory social security)",TOTAL,Total,FT,Full-time,TOTAL,Total,T,Total,MEAN_E_EUR,Mean earnings in euro,PL,Poland,2002,,6878,,,,,
dataflow,ESTAT:EARN_SES_ANNUAL$DEFAULTVIEW(1.0),Structure of earnings survey: annual earnings,A,Annual,B-S_X_O,"Industry, construction and services (except public administration, defense, compulsory social security)",TOTAL,Total,FT,Full-time,TOTAL,Total,T,Total,MEAN_E_EUR,Mean earnings in euro,PL,Poland,2006,,8574,,,,,
dataflow,ESTAT:EARN_SES_ANNUAL$DEFAULTVIEW(1.0),Structure of earnings survey: annual earnings,A,Annual,B-S_X_O,"Industry, construction and services (except public administration, defense, compulsory social security)",TOTAL,Total,FT,Full-time,TOTAL,Total,T,Total,MEAN_E_EUR,Mean earnings in euro,PL,Poland,2010,,10507,,,,,
dataflow,ESTAT:EARN_SES_ANNUAL$DEFAULTVIEW(1.0),Structure of earnings survey: annual earnings,A,Annual,B-S_X_O,"Industry, construction and services (except public administration, defense, compulsory social security)",TOTAL,Total,FT,Full-time,TOTAL,Total,T,Total,MEAN_E_EUR,Mean earnings in euro,PL,Poland,2014,,11665,,,,,
dataflow,ESTAT:EARN_SES_ANNUAL$DEFAULTVIEW(1.0),Structure of earnings survey: annual earnings,A,Annual,B-S_X_O,"Industry, construction and services (except public administration, defense, compulsory social security)",TOTAL,Total,FT,Full-time,TOTAL,Total,T,Total,MEAN_E_EUR,Mean earnings in euro,PL,Poland,2018,,13847,,,,,
dataflow,ESTAT:EARN_SES_ANNUAL$DEFAULTVIEW(1.0),Structure of earnings survey: annual earnings,A,Annual,B-S_X_O,"Industry, construction and services (except public administration, defense, compulsory social security)",TOTAL,Total,FT,Full-time,TOTAL,Total,T,Total,MEAN_E_EUR,Mean earnings in euro,PL,Poland,2022,,17484,,,,,
dataflow,ESTAT:EARN_SES_ANNUAL$DEFAULTVIEW(1.0),Structure of earnings survey: annual earnings,A,Annual,B-S_X_O,"Industry, construction and services (except public administration, defense, compulsory social security)",TOTAL,Total,FT,Full-time,TOTAL,Total,T,Total,MEAN_E_EUR,Mean earnings in euro,PT,Portugal,2006,,16597,,,,,
dataflow,ESTAT:EARN_SES_ANNUAL$DEFAULTVIEW(1.0),Structure of earnings survey: annual earnings,A,Annual,B-S_X_O,"Industry, construction and services (except public administration, defense, compulsory social security)",TOTAL,Total,FT,Full-time,TOTAL,Total,T,Total,MEAN_E_EUR,Mean earnings in euro,PT,Portugal,2010,,18507,,,,,
dataflow,ESTAT:EARN_SES_ANNUAL$DEFAULTVIEW(1.0),Structure of earnings survey: annual earnings,A,Annual,B-S_X_O,"Industry, construction and services (except public administration, defense, compulsory social security)",TOTAL,Total,FT,Full-time,TOTAL,Total,T,Total,MEAN_E_EUR,Mean earnings in euro,PT,Portugal,2014,,17497,,,,,
dataflow,ESTAT:EARN_SES_ANNUAL$DEFAULTVIEW(1.0),Structure of earnings survey: annual earnings,A,Annual,B-S_X_O,"Industry, construction and services (except public administration, defense, compulsory social security)",TOTAL,Total,FT,Full-time,TOTAL,Total,T,Total,MEAN_E_EUR,Mean earnings in euro,PT,Portugal,2018,,18236,,,,,
dataflow,ESTAT:EARN_SES_ANNUAL$DEFAULTVIEW(1.0),Structure of earnings survey: annual earnings,A,Annual,B-S_X_O,"Industry, construction and services (except public administration, defense, compulsory social security)",TOTAL,Total,FT,Full-time,TOTAL,Total,T,Total,MEAN_E_EUR,Mean earnings in euro,PT,Portugal,2022,,23152,,,,,
dataflow,ESTAT:EARN_SES_ANNUAL$DEFAULTVIEW(1.0),Structure of earnings survey: annual earnings,A,Annual,B-S_X_O,"Industry, construction and services (except public administration, defense, compulsory social security)",TOTAL,Total,FT,Full-time,TOTAL,Total,T,Total,MEAN_E_EUR,Mean earnings in euro,RO,Romania,2002,,2344,,,,,
dataflow,ESTAT:EARN_SES_ANNUAL$DEFAULTVIEW(1.0),Structure of earnings survey: annual earnings,A,Annual,B-S_X_O,"Industry, construction and services (except public administration, defense, compulsory social security)",TOTAL,Total,FT,Full-time,TOTAL,Total,T,Total,MEAN_E_EUR,Mean earnings in euro,RO,Romania,2006,,4223,,,,,
dataflow,ESTAT:EARN_SES_ANNUAL$DEFAULTVIEW(1.0),Structure of earnings survey: annual earnings,A,Annual,B-S_X_O,"Industry, construction and services (except public administration, defense, compulsory social security)",TOTAL,Total,FT,Full-time,TOTAL,Total,T,Total,MEAN_E_EUR,Mean earnings in euro,RO,Romania,2010,,6031,,,,,
